uc_1,uc_2,coincidencia
1023,1025,54.0
1023,1026,1.5
1023,1122,8.4
1023,1129,1.0
1023,1208,1.0
1023,1209,1.0
1023,1266,3.0
1023,1307,4.2
1023,1321,155.6
1023,1322,34.0
1023,1324,2.3333333333333335
1023,1359,1.0
1023,1373,398.0
1023,1456,3.0
1023,1457,3.6
1023,1461,4.6
1023,1508,1.0
1023,1537,1.0
1023,1556,2.6
1023,1620,4.2
1023,1780,2.0
1023,1868,1.0
1023,1888,3.0
1023,2011,2.6666666666666665
1023,2013,2.0
1023,2018,3.0
1023,2020,3.0
1023,2032,1.0
1023,2098,1.0
1023,2099,1.0
1023,2216,1.0
1023,2391,1.0
1023,2414,1.0
1023,2504,1.0
1023,2505,1.0
1023,5508,1.0
1023,5514,1.5
1023,5603,1.0
1023,5705,1.0
1023,5720,3.0
1023,5839,2.5
1023,5853,1.0
1023,5855,1.8
1023,5866,1.0
1023,5904,5.8
1023,LIB49,1.0
1023,LIB55,1.0
1023,MI2,191.0
1023,PA439,1.0
1023,PA456,1.0
1023,PA97,1.0
1023,Q80,1.0
1023,Q82,2.0
1023,TTR16,1.0
1025,1038,4.0
1025,1215,1.0
1025,1220,10.5
1025,1266,8.333333333333334
1025,1307,8.4
1025,1321,159.6
1025,1322,13.0
1025,1324,36.4
1025,1325,11.2
1025,1340,2.0
1025,1354,3.0
1025,1359,2.4
1025,1373,26.0
1025,1456,3.0
1025,1457,1.75
1025,1465,3.0
1025,1522,1.0
1025,1527,1.0
1025,1537,11.2
1025,1556,1.0
1025,1700,1.0
1025,1722,1.0
1025,1758,1.5
1025,1774,2.0
1025,1775,1.0
1025,1776,1.0
1025,1780,2.6666666666666665
1025,1781,1.0
1025,1824,1.5
1025,1851,1.0
1025,1876,1.0
1025,1888,9.0
1025,1937,1.0
1025,2001,1.0
1025,2216,3.6666666666666665
1025,2217,4.0
1025,2359,1.0
1025,2371,1.3333333333333333
1025,2404,1.0
1025,2410,1.0
1025,2411,1.0
1025,2414,5.0
1025,2804,1.0
1025,5005,1.0
1025,5504,1.0
1025,5508,1.0
1025,5855,1.0
1025,5904,3.0
1025,5906,1.0
1025,LIB49,2.0
1025,LIB55,1.5
1025,PA288,1.0
1025,Q21,4.2
1025,Q71,1.0
1025,TI11,1.0
1025,TI12,1.0
1025,TIM41,1.0
1026,1025,96.0
1026,1122,2.0
1026,1307,1.0
1026,1321,126.6
1026,1322,5.5
1026,1324,45.0
1026,1325,12.2
1026,1354,1.5
1026,1373,24.666666666666668
1026,1457,1.0
1026,1537,15.2
1026,1620,1.0
1026,1767,2.0
1026,1776,1.0
1026,1780,1.0
1026,1868,1.0
1026,1888,2.0
1026,2018,1.0
1026,2020,1.0
1026,2216,1.0
1026,2217,1.0
1026,TI02,1.0
1026,TI11,1.0
1026,TI12,1.0
1027,1023,6.75
1027,1025,168.6
1027,1026,188.6
1027,1057,1.0
1027,1122,1.3333333333333333
1027,1129,1.0
1027,1266,1.0
1027,1307,1.0
1027,1321,211.0
1027,1322,4.0
1027,1324,142.2
1027,1325,2.5
1027,1373,25.0
1027,1457,1.3333333333333333
1027,1465,1.0
1027,1537,21.2
1027,1620,1.6666666666666667
1027,1731,1.0
1027,1766,1.0
1027,1767,1.5
1027,1774,1.0
1027,1780,3.75
1027,1868,1.5
1027,1888,12.0
1027,2018,1.5
1027,2020,1.5
1027,2099,1.0
1027,2216,4.0
1027,2217,5.0
1027,5720,1.0
1027,5828,2.0
1027,5855,1.6666666666666667
1027,5904,1.0
1027,LIB49,1.0
1027,LIB55,1.0
1027,PA288,1.0
1027,PA587,1.0
1027,PE031,1.0
1027,Q104,1.0
1027,Q80,1.0
1027,Q82,1.0
1027,TCI29,1.0
1027,TI24,1.0
1030,1023,457.8
1030,1025,1.5
1030,1027,5.4
1030,1031,1.0
1030,1131,1.0
1030,1208,1.0
1030,1209,1.0
1030,1220,109.5
1030,1266,129.66666666666666
1030,1307,1.0
1030,1321,33.8
1030,1322,25.5
1030,1324,1.0
1030,1359,2.0
1030,1373,141.66666666666666
1030,1465,1.0
1030,1513,2.0
1030,1611,2.0
1030,1620,75.2
1030,1650,1.0
1030,1780,2.0
1030,1888,2.0
1030,1954,1.0
1030,2032,1.0
1030,2040,1.0
1030,2706,1.0
1030,5904,118.0
1030,LIB49,13.8
1030,MI2,334.0
1030,PA97,1.0
1030,TCI22,1.0
1030,TI04,1.0
1030,TI12,1.0
1030,TIM10,1.0
1030,TIM11,1.0
1030,TIM12,5.0
1030,TIM13,1.0
1030,TIM14,6.0
1030,TIM20,1.0
1030,TIM22,1.0
1030,TIM41,1.0
1030,TIM42,1.0
1030,TIM50,1.6666666666666667
1030,TIM54,1.0
1030,TIM72,1.0
1031,1023,102.8
1031,1025,54.4
1031,1026,49.6
1031,1027,43.0
1031,1122,13.4
1031,1215,2.0
1031,1220,13.0
1031,1266,12.0
1031,1307,1.0
1031,1321,99.8
1031,1322,31.5
1031,1324,11.6
1031,1325,2.3333333333333335
1031,1340,1.0
1031,1354,1.3333333333333333
1031,1359,3.0
1031,1373,104.66666666666667
1031,1465,1.0
1031,1508,2.75
1031,1513,1.3333333333333333
1031,1522,1.0
1031,1524,1.0
1031,1527,1.0
1031,1537,4.0
1031,1611,1.0
1031,1620,33.4
1031,1650,2.0
1031,1716,1.3333333333333333
1031,1722,1.0
1031,1723,2.0
1031,1731,1.0
1031,1758,1.0
1031,1766,1.0
1031,1767,1.0
1031,1775,1.0
1031,1780,1.5
1031,1818,1.0
1031,1888,1.0
1031,1937,1.0
1031,1940,1.0
1031,2018,1.0
1031,2020,1.0
1031,2040,1.0
1031,2216,1.0
1031,2217,1.0
1031,2412,1.0
1031,5904,5.4
1031,MI2,3.0
1031,PA563,1.0
1031,Q69,1.0
1031,TCI29,1.0
1031,TIM10,1.0
1031,TIM11,1.0
1031,TIM12,1.0
1031,TIM13,1.0
1031,TIM22,1.0
1031,TIM50,1.0
1038,1522,1.0
1057,1213,1.0
1057,1324,1.0
1057,1325,1.3333333333333333
1057,1340,3.0
1057,1354,2.0
1057,1537,1.3333333333333333
1057,1632,6.0
1057,1730,1.0
1057,1731,3.0
1057,1758,1.0
1057,1767,1.0
1057,1774,1.0
1057,1775,1.0
1057,1776,2.0
1057,1781,1.0
1057,1868,4.0
1057,5828,2.0
1061,1023,437.0
1061,1025,1.0
1061,1026,13.75
1061,1027,15.4
1061,1030,1218.6
1061,1031,97.0
1061,1062,1.0
1061,1066,1.0
1061,1151,712.4
1061,1152,1.0
1061,1154,1.0
1061,1220,94.5
1061,1266,108.33333333333333
1061,1307,1.0
1061,1321,63.6
1061,1322,26.0
1061,1359,2.2
1061,1373,227.33333333333334
1061,1508,1.5
1061,1513,1.0
1061,1611,1.0
1061,1620,63.4
1061,1780,1.0
1061,1888,3.0
1061,2040,1.0
1061,2231,1.25
1061,2706,1.0
1061,5855,1.0
1061,5904,94.4
1061,LIB49,7.8
1061,MI2,4.0
1061,PA355,1.0
1061,PA455,1.0
1061,PA681,1.0
1061,PA684,3.0
1061,PA685,1.5
1061,PA690,1.5
1061,PA97,1.0
1061,PC135,1.0
1061,PC136,1.0
1061,PE95,1.0
1061,PG02,1.0
1061,PG32,1.0
1061,TCI11,1.0
1061,TCI22,1.0
1061,TCI24,1.0
1061,TCI29,1.0
1061,TI04,1.0
1061,TI12,1.0
1061,TI14,1.0
1061,TI15,1.0
1061,TI21,1.0
1061,TI24,1.0
1061,TIM10,1.0
1061,TIM11,1.0
1061,TIM12,1.0
1061,TIM13,1.0
1061,TIM14,1.0
1061,TIM20,1.0
1061,TIM41,1.0
1061,TIM42,1.0
1061,TIM50,1.3333333333333333
1062,1023,97.2
1062,1025,1.0
1062,1026,48.2
1062,1027,60.2
1062,1030,36.0
1062,1031,227.4
1062,1122,10.8
1062,1131,2.0
1062,1151,82.0
1062,1152,85.8
1062,1153,40.0
1062,1154,12.6
1062,1215,1.0
1062,1220,10.5
1062,1266,10.333333333333334
1062,1270,1.0
1062,1307,3.5
1062,1321,106.6
1062,1322,39.0
1062,1324,13.4
1062,1325,2.75
1062,1340,1.0
1062,1353,3.0
1062,1354,1.5
1062,1359,2.5
1062,1373,78.0
1062,1434,1.0
1062,1464,2.0
1062,1465,2.0
1062,1508,1.25
1062,1513,2.0
1062,1522,1.0
1062,1527,1.0
1062,1537,3.0
1062,1611,1.25
1062,1620,36.6
1062,1650,1.0
1062,1716,1.6666666666666667
1062,1723,2.0
1062,1731,1.0
1062,1764,1.75
1062,1766,1.0
1062,1767,1.5
1062,1775,1.0
1062,1776,1.0
1062,1780,1.6666666666666667
1062,1828,1.0
1062,1850,1.3333333333333333
1062,1888,3.0
1062,1938,2.0
1062,2001,1.0
1062,2040,1.0
1062,2108,2.0
1062,2216,1.0
1062,2217,1.0
1062,2231,1.3333333333333333
1062,2240,1.0
1062,2244,1.0
1062,2412,1.0
1062,5855,1.0
1062,5904,6.0
1062,5916,1.0
1062,LIB49,1.0
1062,PA563,1.0
1062,PA684,1.0
1062,PM60,1.0
1062,TCI24,1.0
1062,TIM10,1.0
1062,TIM11,1.0
1062,TIM12,1.0
1062,TIM13,1.0
1062,TIM14,1.0
1062,TIM20,1.0
1062,TIM50,1.0
1062,TIM51,1.0
1062,TIM55,1.0
1062,TIM61,1.0
1063,1023,13.8
1063,1025,208.0
1063,1026,2.6
1063,1027,10.6
1063,1031,33.2
1063,1038,5.0
1063,1057,1.0
1063,1066,1.0
1063,1122,120.0
1063,1131,1.0
1063,1151,25.2
1063,1152,52.2
1063,1153,149.0
1063,1154,112.6
1063,1209,2.0
1063,1215,1.0
1063,1220,10.0
1063,1266,10.666666666666666
1063,1307,6.6
1063,1321,16.4
1063,1322,7.5
1063,1324,3.0
1063,1325,2.0
1063,1340,2.0
1063,1353,1.0
1063,1354,1.5
1063,1359,4.75
1063,1373,13.333333333333334
1063,1418,2.0
1063,1419,1.0
1063,1450,1.6666666666666667
1063,1457,1.3333333333333333
1063,1464,2.0
1063,1465,2.0
1063,1508,10.6
1063,1513,5.2
1063,1522,1.6666666666666667
1063,1524,1.5
1063,1527,1.3333333333333333
1063,1537,1.25
1063,1539,1.0
1063,1545,2.0
1063,1610,10.333333333333334
1063,1611,2.0
1063,1620,42.0
1063,1650,11.0
1063,1700,1.0
1063,1716,1.6666666666666667
1063,1720,1.0
1063,1723,7.4
1063,1724,1.0
1063,1730,1.0
1063,1764,4.6
1063,1774,2.0
1063,1775,2.0
1063,1776,1.0
1063,1780,1.5
1063,1781,1.0
1063,1835,3.0
1063,1850,1.0
1063,1854,1.0
1063,1857,1.0
1063,1871,5.333333333333333
1063,1920,1.0
1063,1940,3.0
1063,1942,2.0
1063,1954,1.6666666666666667
1063,2001,1.5
1063,2018,1.0
1063,2020,1.0
1063,2040,1.0
1063,2098,1.0
1063,2108,5.0
1063,2207,1.0
1063,2216,2.0
1063,2217,1.5
1063,2230,2.6666666666666665
1063,2231,2.6
1063,2240,1.0
1063,2244,1.3333333333333333
1063,2366,1.5
1063,2371,1.0
1063,2391,2.0
1063,2412,1.5
1063,2414,6.25
1063,2415,1.0
1063,2504,1.0
1063,3207,1.0
1063,3334,1.0
1063,5005,1.0
1063,5609,1.0
1063,5715,1.0
1063,5855,1.0
1063,5904,2.8
1063,5916,1.3333333333333333
1063,Q13,1.0
1063,Q21,1.5
1063,Q22,1.3333333333333333
1063,Q68,1.0
1063,Q71,1.0
1063,TCI21,1.0
1063,TCI24,1.0
1063,TIM10,1.0
1063,TIM11,1.0
1063,TIM12,1.0
1063,TIM13,1.0
1066,1023,9.6
1066,1025,11.0
1066,1026,1.5
1066,1027,3.0
1066,1031,1.3333333333333333
1066,1122,36.8
1066,1129,2.0
1066,1131,5.333333333333333
1066,1209,1.0
1066,1215,1.0
1066,1266,1.0
1066,1307,45.6
1066,1316,2.0
1066,1321,5.6
1066,1322,3.5
1066,1324,2.75
1066,1325,1.75
1066,1340,1.0
1066,1354,1.0
1066,1373,4.666666666666667
1066,1450,2.6
1066,1456,11.0
1066,1457,39.4
1066,1461,4.25
1066,1513,41.2
1066,1537,3.4
1066,1556,2.3333333333333335
1066,1610,7.333333333333333
1066,1620,3.4
1066,1650,8.5
1066,1716,2.0
1066,1722,1.0
1066,1723,1.6666666666666667
1066,1724,1.0
1066,1766,1.0
1066,1767,1.0
1066,1788,1.0
1066,1824,1.5
1066,1856,1.3333333333333333
1066,1857,1.0
1066,1868,1.0
1066,1871,8.666666666666666
1066,1886,1.0
1066,1920,2.0
1066,1940,1.0
1066,2001,2.0
1066,2004,1.0
1066,2011,1.8
1066,2013,1.0
1066,2018,1.3333333333333333
1066,2020,1.5
1066,2099,1.0
1066,2391,1.0
1066,2706,1.0
1066,2707,1.0
1066,3334,1.0
1066,5508,1.3333333333333333
1066,5603,1.0
1066,5705,1.5
1066,5720,1.3333333333333333
1066,5815,1.0
1066,5828,2.0
1066,5855,2.75
1066,LIB49,1.0
1066,PA243,1.0
1066,PA524,1.0
1122,1025,117.8
1122,1209,2.0
1122,1220,11.0
1122,1266,10.333333333333334
1122,1307,25.8
1122,1321,3.4
1122,1322,4.5
1122,1324,1.25
1122,1373,10.0
1122,1456,10.0
1122,1457,12.2
1122,1461,6.0
1122,1556,1.6
1122,1620,46.2
1122,1700,1.0
1122,1722,1.0
1122,1724,2.6
1122,1868,6.0
1122,2001,6.333333333333333
1122,2011,2.0
1122,2013,1.3333333333333333
1122,2018,1.25
1122,2020,1.0
1122,2022,1.5
1122,2032,1.0
1122,2099,1.0
1122,2210,3.0
1122,2211,2.0
1122,2216,1.6666666666666667
1122,2217,1.0
1122,2371,1.6666666666666667
1122,2403,1.0
1122,2414,1.0
1122,5005,1.0
1122,5508,1.0
1122,5514,1.5
1122,5603,1.0
1122,5705,1.0
1122,5720,1.75
1122,5828,1.0
1122,5839,1.5
1122,5855,2.3333333333333335
1122,5904,1.75
1122,TI21,1.0
1122,TIM51,1.0
1129,1307,2.0
1129,1373,1.0
1129,1457,3.0
1129,1620,1.0
1131,1023,2.0
1131,1025,2.0
1131,1027,1.0
1131,1057,1.0
1131,1122,4.0
1131,1266,2.0
1131,1307,3.0
1131,1321,2.5
1131,1324,1.0
1131,1325,1.0
1131,1450,2.0
1131,1456,1.0
1131,1457,4.666666666666667
1131,1461,2.6666666666666665
1131,1508,1.0
1131,1513,1.6666666666666667
1131,1537,1.0
1131,1556,3.0
1131,1610,2.5
1131,1620,1.0
1131,1650,2.0
1131,1716,1.0
1131,1722,1.0
1131,1818,1.0
1131,1824,1.0
1131,1856,1.5
1131,1868,3.0
1131,2004,4.0
1131,2013,2.5
1131,2207,1.0
1131,2450,1.0
1131,2505,1.0
1131,2707,1.5
1131,5504,1.0
1131,5508,2.0
1131,5603,1.0
1131,5828,1.0
1131,5839,1.0
1131,PA288,1.0
1140,1727,1.0
1140,1856,1.0
1140,2004,1.0
1140,TIM22,1.0
1140,TIM71,1.0
1140,TIM80,1.0
1151,1023,80.0
1151,1025,59.0
1151,1026,16.4
1151,1027,55.6
1151,1030,816.2
1151,1031,99.6
1151,1057,1.0
1151,1066,3.0
1151,1131,1.0
1151,1213,1.0
1151,1215,1.5
1151,1220,92.5
1151,1266,128.0
1151,1307,2.0
1151,1316,2.0
1151,1321,57.2
1151,1322,14.0
1151,1324,10.8
1151,1325,7.6
1151,1340,2.75
1151,1354,4.5
1151,1359,3.5
1151,1373,70.0
1151,1464,1.0
1151,1465,1.0
1151,1508,3.5
1151,1513,1.0
1151,1522,1.0
1151,1524,1.0
1151,1527,1.0
1151,1537,7.6
1151,1610,8.666666666666666
1151,1611,1.3333333333333333
1151,1620,82.0
1151,1631,1.0
1151,1650,24.0
1151,1716,3.6
1151,1730,1.6666666666666667
1151,1731,3.0
1151,1749,1.5
1151,1758,3.5
1151,1766,1.0
1151,1767,2.0
1151,1774,2.5
1151,1775,1.5
1151,1776,1.3333333333333333
1151,1780,1.5
1151,1781,2.0
1151,1828,5.0
1151,1835,1.0
1151,1871,2.3333333333333335
1151,1876,1.0
1151,1886,1.0
1151,1888,5.0
1151,1898,1.0
1151,1937,2.0
1151,1938,3.0
1151,1942,2.0
1151,1952,1.0
1151,2018,1.0
1151,2020,1.0
1151,2040,2.0
1151,2216,1.6666666666666667
1151,2217,1.5
1151,2412,1.0
1151,2414,1.3333333333333333
1151,2706,1.0
1151,3207,1.0
1151,5828,1.0
1151,5904,100.6
1151,5916,2.25
1151,LIB49,11.8
1151,MI2,129.0
1151,PA97,1.0
1151,Q13,1.0
1151,TCI11,1.0
1151,TCI21,1.0
1151,TI02,1.0
1151,TI11,1.0
1151,TI12,1.0
1151,TI25,1.0
1151,TI26,1.0
1151,TIM10,1.5
1151,TIM11,1.3333333333333333
1151,TIM12,2.0
1151,TIM13,2.0
1151,TIM14,2.0
1151,TIM20,1.5
1151,TIM22,1.5
1151,TIM50,1.5
1152,1023,4.4
1152,1025,50.4
1152,1026,1.0
1152,1027,3.0
1152,1030,6.2
1152,1031,61.0
1152,1066,2.8
1152,1122,4.25
1152,1153,49.4
1152,1154,2.0
1152,1209,1.0
1152,1215,2.0
1152,1220,12.5
1152,1266,7.0
1152,1307,3.2
1152,1316,1.0
1152,1321,3.25
1152,1322,6.0
1152,1324,1.0
1152,1340,1.0
1152,1359,2.5
1152,1373,15.333333333333334
1152,1418,1.0
1152,1419,2.0
1152,1421,2.0
1152,1450,1.0
1152,1457,1.0
1152,1464,2.0
1152,1465,2.0
1152,1508,5.4
1152,1513,1.0
1152,1524,1.0
1152,1537,1.0
1152,1556,1.0
1152,1610,3.3333333333333335
1152,1611,1.5
1152,1620,37.0
1152,1650,5.0
1152,1700,1.0
1152,1723,3.6666666666666665
1152,1731,1.0
1152,1758,1.0
1152,1776,1.0
1152,1857,2.0
1152,1871,2.5
1152,1940,3.0
1152,1954,1.5
1152,2001,1.0
1152,2040,1.0
1152,2110,1.0
1152,2207,1.0
1152,2216,1.5
1152,2217,1.0
1152,2247,1.0
1152,2371,1.0
1152,2382,1.0
1152,2412,2.0
1152,2414,1.5
1152,2804,1.0
1152,5828,1.0
1152,5855,1.0
1152,5904,2.3333333333333335
1152,5916,1.0
1152,LIB49,1.0
1152,LIB55,1.0
1152,MI2,1.0
1152,Q21,1.0
1152,TIM10,1.0
1152,TIM11,1.0
1152,TIM12,1.0
1152,TIM13,1.0
1152,TIM14,1.0
1152,TIM50,1.0
1152,TIM81,1.0
1153,1023,9.0
1153,1025,126.2
1153,1026,3.0
1153,1027,3.75
1153,1030,5.0
1153,1031,28.4
1153,1038,4.0
1153,1057,1.0
1153,1066,7.8
1153,1122,108.0
1153,1154,112.8
1153,1209,2.0
1153,1215,1.6666666666666667
1153,1220,9.0
1153,1266,6.666666666666667
1153,1307,5.8
1153,1321,10.6
1153,1322,6.5
1153,1324,1.5
1153,1325,1.0
1153,1340,1.0
1153,1354,1.0
1153,1359,4.4
1153,1373,12.666666666666666
1153,1418,1.5
1153,1419,1.6666666666666667
1153,1421,1.5
1153,1450,1.0
1153,1464,3.0
1153,1465,3.0
1153,1508,11.0
1153,1513,4.6
1153,1522,5.25
1153,1524,1.0
1153,1527,4.0
1153,1537,1.3333333333333333
1153,1539,1.0
1153,1610,11.666666666666666
1153,1611,1.5
1153,1620,30.8
1153,1631,1.0
1153,1650,10.0
1153,1700,3.0
1153,1716,1.0
1153,1723,12.8
1153,1758,1.0
1153,1767,1.0
1153,1780,1.0
1153,1871,7.0
1153,1920,1.0
1153,1940,4.5
1153,1942,1.0
1153,1954,4.666666666666667
1153,2001,1.0
1153,2018,1.0
1153,2020,1.0
1153,2032,1.0
1153,2098,1.0
1153,2110,1.0
1153,2207,1.5
1153,2216,1.3333333333333333
1153,2217,1.0
1153,2247,1.0
1153,2355,3.0
1153,2371,1.0
1153,2381,2.0
1153,2382,1.0
1153,2405,1.0
1153,2411,1.0
1153,2412,1.5
1153,2414,5.0
1153,2419,1.0
1153,2504,1.0
1153,3334,1.0
1153,5828,1.0
1153,5855,2.0
1153,5904,3.5
1153,LIB49,2.0
1153,Q13,1.0
1153,Q16,1.3333333333333333
1153,Q21,7.4
1153,Q624,1.0
1153,Q68,1.0
1153,Q69,1.0
1153,Q71,1.5
1153,TCI21,1.0
1153,TIM10,1.0
1153,TIM11,1.0
1153,TIM12,1.0
1153,TIM13,1.0
1153,TIM14,1.0
1153,TIM22,1.0
1153,TIM50,1.0
1153,TIM81,1.0
1154,1023,4.0
1154,1025,108.4
1154,1027,1.0
1154,1030,2.6666666666666665
1154,1031,11.2
1154,1066,14.4
1154,1122,163.0
1154,1131,1.6666666666666667
1154,1209,1.0
1154,1215,2.0
1154,1220,7.0
1154,1266,8.0
1154,1307,8.0
1154,1321,3.6
1154,1322,5.0
1154,1324,2.0
1154,1325,1.0
1154,1359,1.0
1154,1373,9.666666666666666
1154,1450,1.0
1154,1456,1.0
1154,1457,1.5
1154,1508,15.4
1154,1513,6.8
1154,1537,1.0
1154,1539,1.0
1154,1610,14.666666666666666
1154,1620,39.8
1154,1650,15.5
1154,1700,1.0
1154,1716,1.0
1154,1722,1.0
1154,1723,18.8
1154,1724,1.0
1154,1824,2.0
1154,1856,1.6666666666666667
1154,1871,7.666666666666667
1154,1920,1.0
1154,1940,2.5
1154,1954,5.0
1154,2001,1.0
1154,2018,1.0
1154,2020,1.0
1154,2032,1.0
1154,2040,1.0
1154,2207,1.0
1154,2211,1.0
1154,2216,1.0
1154,2217,1.0
1154,2371,1.0
1154,2381,1.5
1154,2382,1.0
1154,2411,1.0
1154,2414,1.0
1154,2706,1.3333333333333333
1154,2707,1.0
1154,2804,1.0
1154,5005,1.0
1154,5508,1.0
1154,5904,1.6666666666666667
1154,Q21,15.2
1154,Q624,2.0
1154,Q68,1.5
1154,Q69,2.0
1154,Q71,2.0
1154,Q80,2.0
1154,Q81,2.0
1154,TIM10,1.0
1154,TIM11,1.0
1154,TIM13,1.0
1154,TIM41,1.0
1154,TIM42,1.0
1154,TIM71,1.0
1154,TIM72,1.0
1208,1209,1.0
1208,1321,1.0
1208,1373,1.0
1208,2032,1.0
1208,5855,2.0
1209,1025,1.0
1209,1307,1.0
1209,1321,1.0
1209,1373,1.0
1209,1556,2.0
1209,2032,1.0
1213,1325,1.0
1213,1537,2.0
1213,1730,1.0
1213,1758,1.0
1213,1767,1.0
1213,1775,1.0
1213,1780,1.0
1213,1938,1.0
1213,2398,1.0
1215,Q104,1.0
1215,Q196B,1.0
1215,Q21,3.75
1215,Q68,2.0
1215,Q71,1.3333333333333333
1220,1522,2.0
1220,1527,2.0
1220,1722,1.0
1220,1824,1.0
1220,2371,2.0
1220,5904,1.0
1235,1461,2.0
1235,1556,3.0
1235,1650,1.0
1235,5712,1.0
1235,Q16,2.0
1266,1824,1.5
1266,2216,1.0
1266,2217,1.0
1266,2371,2.0
1266,2505,2.0
1270,1023,1.0
1270,1025,2.0
1270,1027,5.0
1270,1151,3.0
1270,1321,2.0
1270,1324,2.0
1270,1325,1.0
1270,1353,1.0
1270,1610,2.0
1270,1767,1.0
1270,1774,1.0
1270,1876,1.0
1270,1942,1.0
1270,2040,1.0
1270,2216,2.0
1271,1025,2.0
1271,1031,1.0
1271,1151,5.0
1271,1316,1.0
1271,1324,1.0
1271,1325,1.0
1271,1340,8.0
1271,1353,1.0
1271,1354,7.0
1271,1434,3.0
1271,1537,4.0
1271,1631,2.0
1271,1650,1.0
1271,1716,1.0
1271,1730,7.0
1271,1731,1.0
1271,1758,6.0
1271,1767,6.0
1271,1775,1.0
1271,1776,1.0
1271,1781,1.0
1271,1828,5.0
1271,1848,1.0
1271,1871,11.0
1271,1876,1.0
1271,1942,14.0
1271,2216,1.0
1271,2217,1.0
1271,5828,1.0
1271,5916,3.0
1307,1456,8.0
1307,1457,27.0
1307,1537,1.0
1307,2001,1.0
1307,2013,1.5
1307,5508,1.25
1307,5514,1.0
1307,5603,1.0
1307,5705,2.0
1307,5720,3.0
1307,5828,1.0
1307,5855,1.0
1307,LIB49,1.0
1316,1025,1.0
1316,1026,1.0
1316,1027,2.6666666666666665
1316,1057,1.0
1316,1325,7.75
1316,1340,10.5
1316,1354,10.5
1316,1450,1.6666666666666667
1316,1537,9.2
1316,1610,6.0
1316,1632,1.0
1316,1650,5.5
1316,1716,10.2
1316,1730,3.6666666666666665
1316,1731,4.0
1316,1749,2.5
1316,1758,2.0
1316,1767,2.5
1316,1774,3.0
1316,1775,2.75
1316,1776,1.5
1316,1778,1.0
1316,1780,1.5
1316,1781,3.0
1316,1828,3.0
1316,1848,2.0
1316,1898,4.0
1316,1938,3.0
1316,1952,2.0
1316,2002,1.0
1316,5828,1.5
